GapSize,Count
1,1
2,2900
4,2871
6,4672
8,1903
10,2384
12,2533
14,1342
16,895
18,1453
20,689
22,625
24,705
26,311
28,317
30,465
32,111
34,142
36,172
38,86
40,106
42,99
44,32
46,29
48,32
50,18
52,13
54,30
56,8
58,11
60,20
62,3
64,2
66,7
68,1
70,6
72,1
76,1
78,2
82,1
86,1
